iter	RMSE
0	0.8390872781
1	0.8108728246
2	0.7857052481
3	0.7599458835
4	0.7365810723
5	0.7141178724
6	0.691522742
7	0.6695284206
8	0.6480553232
9	0.62975651
10	0.6099701648
11	0.5940119086
12	0.5785169059
13	0.5624917192
14	0.5474286296
15	0.5335892549
16	0.5201674184
17	0.5059518848
18	0.4921368715
19	0.4798980157
20	0.4683645265
21	0.4579372935
22	0.4475741396
23	0.4379223632
24	0.4277667325
25	0.418295484
26	0.4093399745
27	0.4004233376
28	0.3916268239
29	0.3834416033
30	0.3765981
31	0.3698193196
32	0.3630675063
33	0.3566048607
34	0.3520945834
35	0.3449250594
36	0.3392617559
37	0.3339829557
38	0.3285422455
39	0.3229610682
40	0.3178787407
41	0.3131424063
42	0.3088671295
43	0.3046821437
44	0.3007767453
45	0.2959053623
46	0.2915071821
47	0.2881848753
48	0.2842620366
49	0.2816073214
50	0.277729938
51	0.2744147788
52	0.2704604559
53	0.2668868461
54	0.2639379098
55	0.2606058217
56	0.2578302565
57	0.2555216006
58	0.2531129218
59	0.2507966113
60	0.2481869113
61	0.2455691532
62	0.243781196
63	0.2419390168
64	0.2398795755
65	0.2381671385
66	0.2362780814
67	0.2342652922
68	0.232074591
69	0.2302945608
70	0.2278887306
71	0.2256603598
72	0.2241380874
73	0.2223883967
74	0.2209712974
75	0.2193859107
76	0.2181294006
77	0.2170488454
78	0.2154974088
79	0.2141528719
80	0.2129559176
81	0.2118113891
82	0.2107621778
83	0.2095058054
84	0.208568582
85	0.2074817429
86	0.2062859009
87	0.2054165345
88	0.2043259875
89	0.2037590884
90	0.2027219285
91	0.2019416403
92	0.2008114267
93	0.2001049112
94	0.1994724401
95	0.1985808321
96	0.1982452197
97	0.1969054073
98	0.1960747172
99	0.1949965699
100	0.1945348491
101	0.1935143808
102	0.1925396719
103	0.1918973903
104	0.1915970881
105	0.1914763562
106	0.1907766133
107	0.1899345548
108	0.1893053107
109	0.1886088348
110	0.1883028197
111	0.1878589667
112	0.1873818461
113	0.1868629485
114	0.1865259457
115	0.18577918
116	0.1853249756
117	0.1848803492
118	0.184731259
119	0.1843188444
120	0.1842018797
121	0.183517169
122	0.1829241344
123	0.1823269583
124	0.1818491311
125	0.1814372712
126	0.1805382155
127	0.1800555824
128	0.1793531424
129	0.1784307905
130	0.178192998
131	0.1776208445
132	0.1772076974
133	0.1763027452
134	0.1760341684
135	0.1759166495
136	0.1754323464
137	0.1746155902
138	0.1738325151
139	0.1729755791
140	0.1726566552
141	0.172225104
142	0.1720313816
143	0.1719282014
144	0.171282706
145	0.1711505661
146	0.170548522
147	0.1696728617
148	0.1695799247
149	0.1694874799
150	0.1686596903
151	0.1684120956
152	0.1683167425
153	0.1679341947
154	0.1678635048
155	0.1675854006
156	0.1672066077
157	0.167124182
158	0.1670038482
159	0.1663368271
160	0.1657974609
161	0.1650703347
162	0.1641894089
163	0.1637452292
164	0.1636578052
165	0.163541157
166	0.1634592648
167	0.1632861552
168	0.1630516462
169	0.1623190037
170	0.1618160527
171	0.1617473567
172	0.1610465257
173	0.1606187349
174	0.1602926488
175	0.1599746432
176	0.1598967878
177	0.1593675001
178	0.1590180024
179	0.1589132881
180	0.15861467
181	0.1585071668
182	0.1579915242
183	0.1579089219
184	0.1578376082
185	0.1578083019
186	0.1575188184
187	0.1574882407
188	0.1570254936
189	0.1565748494
190	0.1561620759
191	0.1560387089
192	0.1557644071
193	0.1554937664
194	0.154940049
195	0.1549076379
196	0.1541595518
197	0.1534807991
198	0.1529698059
199	0.1525933709
200	0.1521583734
201	0.151809917
202	0.1517845931
203	0.151544068
204	0.1510681239
205	0.1510379555
206	0.1508036045
207	0.1503292624
208	0.1496126315
209	0.1493073895
210	0.1489126153
211	0.1488835766
212	0.1485917413
213	0.1485636044
214	0.148282187
215	0.1480081087
216	0.1477053081
217	0.1473848912
218	0.1470809379
219	0.1464849532
220	0.1464532877
221	0.1462701214
222	0.1460658388
223	0.1455992208
224	0.1453459786
225	0.1447878703
226	0.1444968622
227	0.1441516147
228	0.1438754475
229	0.1435500247
230	0.1433960033
231	0.1430398921
232	0.1426327812
233	0.142607228
234	0.1421222692
235	0.142092773
236	0.1418437711
237	0.1418152033
238	0.1415228123
239	0.1412993491
240	0.1411123958
241	0.1410893105
242	0.1409168032
243	0.1407173038
244	0.1403580925
245	0.1403355111
246	0.1403133463
247	0.1402640064
248	0.1400520119
249	0.139830309
250	0.1397833994
251	0.1393673946
252	0.1390765919
253	0.1388606326
254	0.1386929738
255	0.1384670618
256	0.1380767647
257	0.1378632458
258	0.1374664181
259	0.1373428969
260	0.1373125334
261	0.1371085675
262	0.1369107813
263	0.1366427101
264	0.1362855123
265	0.1359705552
266	0.1359417001
267	0.1355369421
268	0.1351520846
269	0.1349591968
270	0.134787051
271	0.1344128205
272	0.1342578351
273	0.1340341952
274	0.1337796293
275	0.1336327325
276	0.1334914402
277	0.1332746199
278	0.1332551855
279	0.133017027
280	0.1328564813
281	0.1326861835
282	0.1326531584
283	0.1324392047
284	0.1322145719
285	0.1319957021
286	0.1318279009
287	0.1316884506
288	0.1314963852
289	0.1312122018
290	0.1310039587
291	0.1309463581
292	0.1307256123
293	0.1306930667
294	0.1305536174
295	0.1305245998
296	0.1303146868
