iter	Passed	Remaining
0	4	9875
1	5	6534
2	9	7447
3	13	8476
4	15	7671
5	17	7204
6	20	7180
7	24	7459
8	28	7747
9	30	7456
10	32	7210
11	34	6973
12	35	6723
13	37	6526
14	39	6331
15	40	6136
16	42	6107
17	45	6201
18	48	6230
19	51	6272
20	53	6169
21	54	6023
22	55	5905
23	57	5808
24	59	5759
25	60	5654
26	61	5551
27	63	5521
28	65	5446
29	66	5373
30	67	5301
31	69	5256
32	71	5267
33	75	5398
34	79	5456
35	81	5478
36	85	5606
37	93	5913
38	97	6034
39	100	6044
40	102	6026
41	104	5999
42	107	6027
43	110	6057
44	113	6039
45	115	6020
46	117	5988
47	121	6062
48	123	6049
49	127	6124
50	129	6103
51	131	6058
52	133	6043
53	137	6109
54	139	6086
55	141	6055
56	143	6019
57	146	6041
58	148	5999
59	149	5958
60	151	5913
61	152	5879
62	158	5992
63	161	6029
64	163	5994
65	164	5949
66	166	5908
67	168	5894
68	171	5915
69	177	6047
70	181	6080
71	182	6039
72	184	6003
73	188	6058
74	193	6137
75	196	6147
76	200	6161
77	203	6173
78	206	6184
79	209	6217
80	212	6207
81	213	6169
82	215	6132
83	216	6098
84	217	6062
85	221	6091
86	223	6060
87	224	6019
88	226	6002
89	228	5991
90	233	6042
91	235	6044
92	238	6033
93	240	6026
94	242	6012
95	244	5991
96	246	5968
97	250	6005
98	252	6002
99	257	6047
100	261	6076
101	263	6058
102	264	6029
103	266	6006
104	267	5969
105	269	5958
106	270	5925
107	271	5890
108	272	5853
109	273	5819
110	275	5803
111	276	5776
112	280	5806
113	283	5799
114	285	5790
115	288	5807
116	289	5779
117	291	5762
118	293	5742
119	294	5720
120	296	5709
121	298	5693
122	299	5668
123	301	5643
124	302	5624
125	303	5599
126	305	5579
127	306	5559
128	311	5597
129	315	5629
130	317	5626
131	319	5611
132	321	5596
133	323	5591
134	328	5622
135	330	5625
136	332	5613
137	334	5600
138	340	5664
139	345	5692
140	348	5709
141	350	5701
142	353	5696
143	362	5804
144	364	5792
145	365	5769
146	367	5751
147	368	5732
148	373	5759
149	375	5759
150	377	5743
151	378	5720
152	379	5694
153	380	5671
154	381	5647
155	382	5627
156	384	5607
157	386	5600
158	387	5580
159	388	5558
160	389	5538
161	390	5517
162	391	5495
163	393	5480
164	394	5455
165	394	5429
166	395	5406
167	396	5383
168	397	5361
169	398	5340
170	399	5322
171	401	5311
172	402	5290
173	403	5270
174	403	5248
175	404	5226
176	405	5204
177	406	5184
178	407	5162
179	407	5141
180	408	5120
181	409	5101
182	410	5081
183	411	5060
184	411	5040
185	412	5020
186	413	5005
187	415	4991
188	416	4974
189	416	4957
190	418	4941
191	418	4925
192	420	4909
193	421	4900
194	422	4884
195	423	4866
196	424	4849
197	425	4833
198	425	4816
199	426	4798
200	427	4783
201	431	4800
202	433	4801
203	435	4789
204	436	4779
205	438	4769
206	438	4753
207	439	4736
208	440	4719
209	441	4703
210	441	4686
211	442	4669
212	443	4655
213	444	4645
214	445	4634
215	446	4619
216	447	4605
217	448	4591
218	449	4576
219	450	4562
220	451	4548
221	451	4533
222	452	4518
223	453	4504
224	454	4490
225	455	4476
226	455	4461
227	456	4446
228	457	4432
229	458	4424
230	459	4411
231	460	4402
232	462	4396
233	464	4394
234	465	4387
235	466	4379
236	467	4365
237	468	4354
238	471	4355
239	472	4347
240	474	4343
241	478	4363
242	481	4367
243	482	4358
244	483	4353
245	485	4343
246	485	4330
247	486	4318
248	489	4325
249	491	4327
250	493	4317
251	494	4307
252	494	4296
253	495	4285
254	496	4274
255	497	4263
256	499	4259
257	500	4248
258	501	4237
259	502	4227
260	503	4220
261	505	4216
262	506	4209
263	508	4205
264	509	4198
265	510	4188
266	511	4180
267	512	4169
268	513	4158
269	514	4148
270	514	4138
271	516	4131
272	518	4129
273	521	4135
274	523	4139
275	524	4132
276	526	4124
277	527	4119
278	528	4109
279	529	4100
280	530	4090
281	531	4084
282	534	4093
283	539	4109
284	541	4113
285	544	4119
286	546	4116
287	547	4108
288	548	4100
289	549	4093
290	551	4086
291	552	4078
292	553	4072
293	554	4064
294	555	4058
295	573	4170
296	584	4234
297	586	4231
298	587	4223
299	588	4215
300	589	4208
301	590	4199
302	591	4191
303	594	4196
304	601	4228
305	607	4255
306	611	4263
307	612	4259
308	613	4249
309	614	4240
310	615	4230
311	616	4221
312	617	4212
313	619	4209
314	621	4209
315	623	4207
316	624	4200
317	625	4192
318	626	4184
319	627	4175
320	628	4167
321	629	4159
322	631	4155
323	636	4174
324	638	4173
325	639	4164
326	640	4155
327	641	4148
328	642	4140
329	643	4132
330	644	4124
331	645	4116
332	646	4109
333	648	4105
334	649	4098
335	650	4091
336	651	4085
337	659	4120
338	660	4113
339	661	4106
340	665	4113
341	667	4115
342	669	4112
343	670	4105
344	671	4097
345	673	4091
346	674	4085
347	675	4080
348	678	4083
349	682	4094
350	687	4109
351	699	4164
352	702	4171
353	706	4178
354	714	4215
355	715	4208
356	717	4202
357	718	4195
358	719	4190
359	722	4190
360	725	4195
361	729	4204
362	730	4198
363	731	4192
364	732	4184
365	734	4177
366	736	4175
367	738	4173
368	740	4173
369	742	4170
370	743	4164
371	744	4159
372	745	4151
373	746	4144
374	748	4137
375	754	4162
376	763	4196
377	765	4192
378	768	4198
379	773	4211
380	775	4209
381	776	4203
382	778	4197
383	782	4209
384	794	4256
385	799	4272
386	802	4277
387	804	4273
388	805	4267
389	806	4260
390	807	4252
391	809	4246
392	821	4300
393	837	4368
394	846	4402
395	849	4404
396	850	4397
397	851	4389
398	852	4380
399	853	4371
400	853	4361
401	854	4351
402	855	4342
403	855	4332
404	858	4330
405	860	4332
406	862	4326
407	867	4340
408	870	4340
409	873	4345
410	877	4352
411	879	4348
412	880	4340
413	881	4330
414	881	4321
415	882	4314
416	883	4306
417	885	4301
418	886	4296
419	890	4301
420	891	4295
421	892	4287
422	893	4278
423	894	4270
424	895	4262
425	895	4254
426	896	4245
427	897	4237
428	898	4229
429	899	4224
430	901	4222
431	904	4222
432	906	4220
433	907	4214
434	908	4207
435	909	4201
436	910	4193
437	911	4186
438	918	4203
439	920	4201
440	921	4197
441	922	4189
442	923	4181
443	924	4174
444	925	4167
445	926	4159
446	926	4151
447	927	4144
448	928	4137
449	930	4134
450	933	4133
451	934	4130
452	935	4124
453	936	4115
454	937	4107
455	937	4099
456	938	4091
457	939	4084
458	940	4077
459	941	4069
460	941	4061
461	942	4052
462	942	4044
463	944	4040
464	948	4047
465	950	4043
466	951	4038
467	953	4036
468	956	4036
469	957	4031
470	959	4029
471	961	4025
472	962	4020
473	964	4019
474	966	4016
475	967	4010
476	968	4004
477	969	3999
478	971	3994
479	972	3987
480	974	3985
481	977	3988
482	978	3983
483	979	3978
484	980	3972
485	981	3966
486	983	3960
487	984	3954
488	985	3948
489	986	3943
490	994	3966
491	996	3962
492	997	3958
493	999	3955
494	1000	3950
495	1001	3944
496	1004	3945
497	1006	3943
498	1007	3938
499	1009	3933
500	1010	3928
501	1011	3923
502	1012	3917
503	1013	3912
504	1015	3908
505	1016	3904
506	1019	3904
507	1022	3906
508	1028	3918
509	1029	3915
510	1032	3917
511	1035	3918
512	1040	3927
513	1042	3923
514	1043	3917
515	1044	3912
516	1045	3908
517	1048	3908
518	1051	3908
519	1053	3907
520	1054	3903
521	1055	3898
522	1056	3892
523	1057	3885
524	1058	3878
525	1059	3872
526	1060	3866
527	1061	3861
528	1063	3860
529	1066	3861
530	1067	3856
531	1068	3850
532	1069	3844
533	1070	3838
534	1071	3831
535	1071	3825
536	1072	3818
537	1073	3812
538	1073	3805
539	1074	3799
540	1075	3793
541	1077	3791
542	1078	3787
543	1080	3782
544	1081	3778
545	1083	3777
546	1084	3771
547	1085	3764
548	1085	3758
549	1086	3751
550	1087	3745
551	1087	3738
552	1088	3732
553	1089	3727
554	1090	3721
555	1094	3727
556	1096	3725
557	1098	3721
558	1099	3716
559	1100	3712
560	1101	3706
561	1102	3701
562	1103	3695
563	1103	3689
564	1104	3683
565	1105	3678
566	1106	3674
567	1109	3673
568	1110	3668
569	1111	3663
570	1112	3658
571	1114	3656
572	1115	3651
573	1116	3646
574	1116	3640
575	1117	3633
576	1118	3627
577	1118	3621
578	1119	3616
579	1120	3611
580	1122	3608
581	1123	3604
582	1124	3600
583	1125	3595
584	1127	3591
585	1127	3585
586	1129	3582
587	1130	3577
588	1130	3571
589	1131	3565
590	1132	3559
591	1132	3553
592	1133	3547
593	1134	3542
594	1135	3537
595	1136	3534
596	1138	3531
597	1139	3527
598	1140	3522
599	1141	3517
600	1142	3513
601	1143	3508
602	1144	3503
603	1145	3498
604	1145	3492
605	1146	3487
606	1147	3481
607	1147	3475
608	1148	3470
609	1149	3464
610	1150	3459
611	1151	3455
612	1152	3451
613	1154	3451
614	1155	3446
615	1156	3442
616	1157	3437
617	1159	3433
618	1159	3428
619	1160	3423
620	1161	3417
621	1161	3412
622	1162	3406
623	1163	3401
624	1163	3395
625	1164	3390
626	1165	3386
627	1166	3382
628	1167	3377
629	1168	3372
630	1168	3367
631	1169	3362
632	1170	3359
633	1171	3354
634	1172	3350
635	1173	3346
636	1174	3341
637	1175	3336
638	1176	3331
639	1176	3326
640	1177	3321
641	1178	3316
642	1179	3312
643	1180	3307
644	1182	3306
645	1183	3302
646	1184	3298
647	1185	3293
648	1186	3290
649	1187	3286
650	1188	3281
651	1188	3276
652	1190	3272
653	1190	3268
654	1191	3264
655	1192	3259
656	1193	3255
657	1194	3250
658	1195	3246
659	1197	3244
660	1198	3241
661	1199	3237
662	1200	3233
663	1201	3229
664	1202	3224
665	1202	3219
666	1203	3215
667	1204	3210
668	1205	3206
669	1206	3202
670	1206	3197
671	1207	3193
672	1208	3189
673	1209	3184
674	1210	3180
675	1211	3176
676	1212	3173
677	1213	3169
678	1214	3165
679	1215	3160
680	1215	3156
681	1216	3151
682	1217	3147
683	1218	3142
684	1218	3138
685	1219	3133
686	1220	3129
687	1220	3124
688	1221	3120
689	1222	3115
690	1223	3111
691	1223	3107
692	1224	3102
693	1226	3100
694	1227	3098
695	1230	3098
696	1232	3097
697	1232	3093
698	1233	3089
699	1234	3084
700	1235	3081
701	1236	3076
702	1236	3072
703	1237	3067
704	1238	3063
705	1238	3058
706	1239	3054
707	1241	3051
708	1242	3049
709	1245	3051
710	1246	3047
711	1247	3043
712	1262	3074
713	1264	3071
714	1265	3068
715	1266	3064
716	1267	3060
717	1268	3058
718	1269	3055
719	1270	3051
720	1274	3053
721	1276	3053
722	1278	3052
723	1279	3049
724	1280	3045
725	1281	3041
726	1282	3037
727	1283	3033
728	1284	3029
729	1284	3025
730	1287	3024
731	1289	3024
732	1290	3021
733	1291	3018
734	1293	3016
735	1294	3013
736	1295	3009
737	1296	3006
738	1297	3002
739	1298	2999
740	1299	2995
741	1301	2994
742	1304	2994
743	1306	2993
744	1307	2990
745	1309	2988
746	1310	2985
747	1312	2984
748	1313	2981
749	1314	2978
750	1317	2979
751	1319	2977
752	1321	2976
753	1323	2974
754	1324	2971
755	1326	2971
756	1328	2970
757	1330	2968
758	1332	2966
759	1333	2963
760	1334	2960
761	1335	2956
762	1336	2953
763	1337	2949
764	1337	2945
765	1338	2941
766	1339	2937
767	1340	2933
768	1340	2929
769	1341	2925
770	1342	2920
771	1342	2917
772	1343	2913
773	1346	2913
774	1347	2910
775	1348	2906
776	1349	2903
777	1350	2901
778	1351	2897
779	1352	2893
780	1353	2889
781	1353	2885
782	1354	2881
783	1355	2878
784	1356	2874
785	1356	2870
786	1357	2866
787	1358	2862
788	1358	2858
789	1360	2856
790	1361	2853
791	1362	2850
792	1363	2846
793	1364	2843
794	1364	2839
795	1365	2836
796	1366	2832
797	1367	2828
798	1367	2824
799	1368	2820
800	1369	2816
801	1369	2812
802	1370	2808
803	1370	2805
804	1371	2801
805	1372	2797
806	1373	2793
807	1374	2790
808	1376	2789
809	1377	2788
810	1378	2785
811	1379	2781
812	1381	2779
813	1382	2776
814	1382	2772
815	1383	2769
816	1384	2765
817	1385	2761
818	1385	2758
819	1386	2754
820	1387	2751
821	1388	2747
822	1389	2745
823	1391	2744
824	1394	2744
825	1395	2742
826	1397	2740
827	1397	2736
828	1398	2733
829	1399	2729
830	1400	2726
831	1400	2722
832	1401	2719
833	1402	2715
834	1403	2712
835	1405	2711
836	1406	2709
837	1408	2707
838	1409	2704
839	1410	2701
840	1411	2698
841	1412	2695
842	1413	2693
843	1414	2690
844	1415	2687
845	1416	2684
846	1417	2681
847	1419	2679
848	1421	2678
849	1423	2677
850	1424	2674
851	1425	2671
852	1425	2668
853	1426	2664
854	1427	2660
855	1427	2657
856	1428	2653
857	1429	2650
858	1429	2646
859	1430	2643
860	1431	2640
861	1432	2636
862	1432	2633
863	1435	2632
864	1436	2630
865	1437	2627
866	1439	2625
867	1440	2623
868	1440	2619
869	1441	2616
870	1442	2613
871	1443	2610
872	1444	2607
873	1444	2603
874	1445	2600
875	1446	2597
876	1447	2595
877	1450	2595
878	1452	2594
879	1453	2591
880	1454	2589
881	1456	2587
882	1457	2584
883	1458	2582
884	1459	2579
885	1460	2576
886	1461	2573
887	1465	2576
888	1467	2574
889	1468	2572
890	1469	2569
891	1472	2570
892	1473	2567
893	1474	2564
894	1475	2561
895	1476	2558
896	1477	2555
897	1478	2553
898	1480	2552
899	1481	2549
900	1482	2547
901	1484	2545
902	1484	2542
903	1485	2539
904	1487	2537
905	1488	2534
906	1489	2531
907	1489	2528
908	1490	2525
909	1492	2523
910	1495	2524
911	1498	2525
912	1499	2523
913	1501	2521
914	1502	2518
915	1503	2515
916	1504	2513
917	1505	2511
918	1506	2508
919	1508	2507
920	1510	2506
921	1512	2504
922	1513	2502
923	1514	2498
924	1514	2495
925	1515	2492
926	1516	2489
927	1516	2486
928	1517	2483
929	1518	2480
930	1519	2477
931	1520	2474
932	1520	2471
933	1521	2468
934	1523	2466
935	1524	2464
936	1526	2463
937	1527	2461
938	1528	2458
939	1529	2455
940	1530	2452
941	1530	2449
942	1531	2446
943	1532	2442
944	1533	2439
945	1533	2436
946	1534	2433
947	1535	2430
948	1536	2427
949	1536	2424
950	1538	2423
951	1540	2421
952	1541	2419
953	1542	2416
954	1542	2413
955	1543	2410
956	1544	2407
957	1544	2404
958	1545	2401
959	1546	2398
960	1547	2395
961	1547	2392
962	1548	2389
963	1549	2386
964	1549	2383
965	1550	2380
