phone_full_name,phone_review_rating,phone_rate_number,phone_sale_price,phone_list_price,phone_discount,phone_brand,phone_dim,phone_weight,phone_ASIN,phone_model_numer,phone_batteries,phone_os,phone_ram,phone_wire_com_tech,phone_conn_tech,phone_is_GPS,phone_special_features,phone_display_tech,phone_other_display_features,phone_human_int_input,phone_scanner_res,phone_other_cam_features,phone_from_factor,phone_color,phone_batt_power_rating,phone_set,phone_manufacturer,phone_date,phone_mem_storage_cap,phone_standing_screen_display_size,phone_ram_memory_installed_size,phone_cust_rev_5_perc,phone_cust_rev_4_perc,phone_cust_rev_3_perc,phone_cust_rev_2_perc,phone_cust_rev_1_perc,phone_cust_say
Samsung Galaxy A55 5G A556E 256GB Dual-SIM GSM Unlocked Android Smartphone (Latin Variant/US Compatible LTE) - Awesome Navy,4.2,269 ratings,$375.90,Sorry bro,0%,SAMSUNG,6.34 x 3.05 x 0.32 inches,10.9 ounces,B0CYHZ11CM,SAMSUNG A55,1 Lithium Polymer batteries required. (included),Android 14 with Samsung One UI 6.1,8,"Bluetooth, Cellular, Wi-Fi, NFC",NFC,True,Dual SIM,Sorry bro,Wireless,Touchscreen,1080 x 2340,Front,Smartphone,Awesome Navy,5000 Watt Hours,"Bundle 25W Wall charger With dual USB, SIM Tray Ejector, USB Cable",Samsung Electronics,"March 19, 2024",8 GB,6.6 Inches,8 GB,Sorry bro,Sorry bro,3%,12%,Sorry bro,"{'Phone quality': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Build quality': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Speed': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Color quality': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Memory card slot': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Compatibility': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'MIXED'}}"
Tracfone | Samsung Galaxy A25 5G | Locked | 128GB |5000mAh Battery | 50MP Main Camera | 6.5-in. AMOLED Display | Black,4.2,40 ratings,$205.84,Sorry bro,0%,Tracfone,3.05 x 0.32 x 6.38 inches,13.2 ounces,B0CTVZCXCM,S256VL,1 Lithium Polymer batteries required. (included),Android 13.0,Sorry bro,Sorry bro,"USB, Bluetooth V 5.1",True,"Voice Dialing (NameDailing - Google Now), Fingerprint Sensor (Unlock Only), Tethering by USB, BT, or WiFi, Enhanced Voice Services, WiFi Calling",Sorry bro,Wireless,Touchscreen,1920 x 1080,"Rear, Front",Bar,BLACK,Sorry bro,"Samsung Galaxy A25 5G Device, USB Charging Cable, Quick Start Guide",Samsung,"February 3, 2024",6 GB,6.5 Inches,6 GB,55%,Sorry bro,3%,Sorry bro,Sorry bro,"{'Screen quality': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Storage capacity': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'POSITIVE'}}"
"SAMSUNG Galaxy A16 5G Dual SIM (256GB, 8GB) 6.7"" AMOLED, IP54 Water Resistant, 50MP Camera, 4G VoLTE (Factory Unlocked for T-Mobile, Global) International Model A166M/DS (w/ 256GB SD Card, Blue Black)",3.0,1 rating,$213.99,Sorry bro,0%,SAMSUNG,6 x 4 x 2 inches,14.9 ounces,B0DMTTFB2B,A166M/DS,1 Lithium Ion batteries required. (included),Android 14,Sorry bro,Sorry bro,"2G, 3G, 4G, 5G",True,Sorry bro,Sorry bro,Wireless,Sorry bro,1080 x 2340,Sorry bro,Bar,Blue Black,5000 Milliamp Hours,Phone case,SAMSUNG,"January 1, 2022",256 GB,6.7 Inches,8 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
"SAMSUNG Galaxy A14 4G LTE (128GB + 4GB) Unlocked Worldwide (Only T-Mobile/Mint/Metro USA Market) 6.6"" 50MP Triple Camera + (15W Wall Charger) (Black (SM-A145M/DS))",4.3,743 ratings,$199.99,Sorry bro,0%,SAMSUNG,6.57 x 3.07 x 0.35 inches,7.1 ounces,B0BXVKVR98,SM-A145M/DS,1 Lithium Ion batteries required. (included),"Android 12, One UI Core 4.1",4 GB,"Cellular, Wi-Fi",Wi-Fi,True,Dual SIM,Sorry bro,Wireless,Keypad,1080 x 2408,Front,Smartphone,Black (SM-A145M/DS),5000 Milliampere Hour (mAh),"Fast Car Charger, SIM Tray Ejector, USB Cable",Samsung Electronics,"March 8, 2023",128 GB,6.6 Inches,4 GB,Sorry bro,Sorry bro,Sorry bro,2%,Sorry bro,"{'Phone quality': {'pos_rev': '37', 'neg_rev': '10', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '37', 'neg_rev': '10', 'tone': 'POSITIVE'}, 'Ease of setup': {'pos_rev': '37', 'neg_rev': '10', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '37', 'neg_rev': '10', 'tone': 'MIXED'}, 'Speed': {'pos_rev': '37', 'neg_rev': '10', 'tone': 'MIXED'}, 'Battery life': {'pos_rev': '37', 'neg_rev': '10', 'tone': 'MIXED'}, 'Camera quality': {'pos_rev': '37', 'neg_rev': '10', 'tone': 'MIXED'}, 'Screen brightness': {'pos_rev': '37', 'neg_rev': '10', 'tone': 'NEGATIVE'}}"
Tracfone | Motorola Moto g Power 5G 2024 | Locked | 128GB | 5000mAh Battery | 50MP Main Camera | Black,4.4,21 ratings,$149.00,Sorry bro,0%,Tracfone,Sorry bro,13.5 ounces,B0DFHQ72M3,XT2415V,1 Lithium Polymer batteries required. (included),Android 14,Sorry bro,Cellular,"Bluetooth, Wi-Fi, GSM/UMTS/LTE",True,"Battery life of more than a day., Capture every moment at its best with a 50MP camera., 5G speed. Powerful performance., Save everything with up to 128GB., Premium design within reach.",Sorry bro,Wireless,Sorry bro,1920 x 1080,50MP + 8MP,Bar,BLACK,3,"moto g power 5G 2024, USB Cable, Quick Start Guide",MOTOROLA INC,"August 28, 2024",8 GB,6.72 Inches,8 GB,Sorry bro,24%,63%,Sorry bro,Sorry bro,"{'Value for money': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Camera quality': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Storage capacity': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Wireless charging': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Features': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'POSITIVE'}}"
Samsung Galaxy A25 5G A256E 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin Variant/US Compatible LTE) - Light Blue,4.0,19 ratings,$214.95,$90.00,0%,SAMSUNG,Sorry bro,9.1 ounces,B0CRVX31VD,A25,Sorry bro,Android 5.0,Sorry bro,Cellular,USB,True,Sorry bro,Sorry bro,Wireless,Touchscreen,1080 x 2340,"Rear, Front",Slate,Light Blue,Sorry bro,"SIM Tray Ejector, Adapter",Samsung,"January 3, 2024",128 GB,6.5 Inches,8 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
"Motorola Moto G84 5G (GSM Unlocked, International Version) 256GB + 12GB RAM Dual SIM Android 13 Smartphone (Marshmallow Blue)",4.2,265 ratings,$224.50,$279.99,0%,Motorola,6.29 x 2.93 x 0.3 inches,5.6 ounces,B0CF2MZTNR,PAYTOO31SE,2 Lithium Polymer batteries required. (included),Android 13.0,12 GB,"Bluetooth, Cellular, Wi-Fi, NFC","Bluetooth, Wi-Fi, USB, NFC",True,"Fast Charging Support, Stereo Speakers, Dual SIM, Expandable Memory, Mobile Hotspot Capability",Sorry bro,Wireless,Touchscreen,2400 x 1080,"Rear, Front",Smartphone,Marshmallow Blue,5000 Milliamp Hours,"SIM Tray Ejector, Adapter, USB Cable",Motorola,"September 14, 2023",12 GB,6.5 Inches,12 GB,5%,Sorry bro,Sorry bro,62%,Sorry bro,"{'Phone quality': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Speed': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Photo quality': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Signal strength': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
Nokia XR20 5G Android 11 Unlocked Rugged Smartphone Dual SIM US Version 6/128GB 6.67-Inch Screen 48MP Dual Camera Polar Night/Blue,4.0,509 ratings,$279.99,$299.00,6%,Nokia,6.76 x 3.19 x 0.41 inches,8.8 ounces,B09DHSPDRQ,TA-1371,1 Lithium Polymer batteries required. (included),Android 11.0,6 GB,Cellular,"Bluetooth, Wi-Fi, USB, NFC",False,"Rugged Body, Dual SIM, Built-In GPS, Wireless Charging, Water Resistant",Sorry bro,Wireless,"Touchscreen, Microphone, Buttons",2400 x 1080,"Rear, Front",Slate,Blue,4630,"Power Adapter, SIM Tray Ejector, Screen Protector, USB Cable",HMD Global Oy,"August 24, 2021",6 GB,6.67 Inches,6 GB,5%,Sorry bro,Sorry bro,12%,Sorry bro,"{'Durability': {'pos_rev': '44', 'neg_rev': '11', 'tone': 'POSITIVE'}, 'Phone quality': {'pos_rev': '44', 'neg_rev': '11', 'tone': 'POSITIVE'}, 'Charging speed': {'pos_rev': '44', 'neg_rev': '11', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '44', 'neg_rev': '11', 'tone': 'MIXED'}, 'Functionality': {'pos_rev': '44', 'neg_rev': '11', 'tone': 'MIXED'}, 'Fingerprint reader': {'pos_rev': '44', 'neg_rev': '11', 'tone': 'MIXED'}, 'Picture quality': {'pos_rev': '44', 'neg_rev': '11', 'tone': 'MIXED'}, 'Camera quality': {'pos_rev': '44', 'neg_rev': '11', 'tone': 'NEGATIVE'}}"
Samsung Galaxy A55 5G A556E 256GB Dual-SIM GSM Unlocked Android Smartphone (Latin Variant/US Compatible LTE) - Awesome Lemon,4.4,102 ratings,$375.00,Sorry bro,0%,SAMSUNG,6.34 x 3.05 x 0.32 inches,11.1 ounces,B0CYHJMC1H,SAMSUNG A55,1 Lithium Polymer batteries required. (included),Android,8,"Cellular, Bluetooth, Wi-Fi, NFC",NFC,True,Dual SIM,Sorry bro,Wireless,Touchscreen,1080 x 2340,Front,Smartphone,Awesome Lemon Latin Bands,5000 Watt Hours,"Bundle 25W Wall charger With dual USB, SIM Tray Ejector, USB Cable",Samsung Electronics,"March 19, 2024",256 GB,6.6 Inches,8 GB,Sorry bro,14%,Sorry bro,Sorry bro,Sorry bro,"{'Build quality': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Design': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Processor speed': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'MIXED'}}"
"SAMSUNG Galaxy A06 4G LTE (64GB + 4GB) Latin Version SM-A065M/DS (Tmobile Metro Mint & Global) 6.7"" Dual Sim 50MP Dual Cam + (Wall 25W Dual Port Bundle) (Black SM-A065M/DS Model)",4.1,24 ratings,$94.00,$90.00,0%,SAMSUNG,Sorry bro,13.1 ounces,B0DDV234XM,SM-A065M/DS,1 Lithium Ion batteries required. (included),Android 14,3 GB,"Cellular, Wi-Fi",Wi-Fi,True,Dual SIM,Sorry bro,Wireless,Sorry bro,720 x 1560,"Rear, Front",Smartphone,Black SM-A065M/DS Model,5000 Milliamp Hours,"Fast Car Charger, Wall Charger, USB Cable",Samsung,"August 2, 2024",64 GB,6.7 Inches,4 GB,Sorry bro,64%,Sorry bro,Sorry bro,Sorry bro,"{'Functionality': {'pos_rev': '5', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '5', 'neg_rev': '0', 'tone': 'POSITIVE'}}"
