product_id,name,brand,Гарантия,Гарантия предоставляется,Страна,Год релиза,Серия,Состояние,Внешний вид,Разрешение экрана,Экран,Технология экрана,Тип экрана,Частота обновления (Гц),Яркость (кд/кв.м),Тип процессора,Количество ядер,Графический ускоритель,Операционная система,Встроенная память (ROM) (ГБ),Количество основных камер (шт),Основная камера МПикс,Съемка видео в портретном режиме,Цифровой зум (x),Разрешение видеосъемки,Оптическая стабилизация,Количество фронтальных камер (шт),Фронтальная камера МПикс,Поддержка SIM карт,Поддержка стандартов,Поддержка Wi-Fi,Технология NFC,Встроенный модуль Bluetooth,Поддержка Apple Pay,Встроенный барометр,Датчик ориентации экрана,Сенсор распознавания лица,Порт USB,Поддержка быстрой зарядки,Поддержка беспроводной зарядки,Стандарты быстрой зарядки,Датчик ускорения (G-sensor),Разъем для наушников,Материал корпуса,Степень защиты,Поддержка GPS,Поддержка ГЛОНАСС,В комплекте,Поддержка MagSafe,Тип аккумулятора,Цвет,Цвет производителя,Габаритные размеры (В*Ш*Г),basePrice,salePrice,Модель,Оболочка ОС,Тип стекла,Процессор,Оперативная и встроенная память,Осн. камера МПикс,Разрешение основной камеры (МПикс),Цифровая стабилизация,Навигационные системы,Тип карты памяти,Функции,Сканер отпечатка пальца,Датчики,Блок питания,Кабель Type-C - Type-C,Мощность блока питания (Вт),Тип вилки,Время в режиме ожидания (ч),Время в режиме разговора (ч),Емкость аккумулятора (мАч),Вес (г),Габаритные размеры (В*Ш*Т),Обратная беспроводная зарядка,Безрамочный,Оптический зум на увеличение (x),Кабель Type-C - USB тип А,Чехол,Сканер LiDAR,Always On Display,Максимальная емкость карты памяти (ГБ),Гибридный слот,Поддержка HDR,Автофокус фронтальной камеры,Кабель Micro-USB - USB тип А,"Диагональ дополнительного экрана ("")",Разрешение по горизонтали в развернутом виде (Пикс),Разрешение по вертикали в развернутом виде (Пикс),"Диагональ в развернутом виде ("")",Разрешение дополнительного экрана по вертикали (Пикс),Разрешение дополнительного экрана по горизонтали (Пикс),Складной смартфон,Встроенный искусственный интеллект,Проводная гарнитура,Micro-SIM,Гарантия на аксессуары (мес.),Гарантия на АКБ (мес.),Дополнительная комплектация,Сканер радужной оболочки глаза
30063534,Смартфон Apple iPhone 13 128GB nanoSim/eSim Midnight,Apple,1 год,продавцом,Китай,2021,iPhone 13,новый,новый,2532x1170 Пикс,"6.1""/2532x1170 Пикс",OLED,Super Retina XDR,60,1200,A15 Bionic,6,Apple A15 GPU,iOS 15,128,2,12/12/0/0/0,Да,5,3840x2160 Пикс (4K),Да,1,12/0,1 nano-SIM/1 eSim,2G/3G/4G LTE/5G,ax,Да,5.0,Да,Да,Да,Да,Lightning,Да,Да,USB Power Delivery,Да,Lightning,алюминий/ стекло,IP68,Да,Да,кабель Lightning - Type-C,Да,Li-Ion,темная ночь,Midnight,146.7*71.5*7.65 мм,74999,49999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400410049,Смартфон HONOR X9c 12/256GB Titanium Black,HONOR,2 года,производителем,Китай,2025,X9c,новый,,2700x1224 Пикс,"6.7""/2700x1224 Пикс",AMOLED,,,,,8,,Android Magic OS 8.0,,2,108/5,,,3840x2160 Пикс (4K),Да,1,16,2 nano-SIM,2G/3G/4G LTE/5G,Да,Да,5.1,,,,,USB Type-C,,,,,USB Type-C,пластик ударопрочный,IP65,,,,,,черный,,,40999,28499,BRP-NX1,"MagicOS 8.0, Android 14",закаленное,Qualcomm Snapdragon 6 gen1 4 x 2.2ГГц + 4 x 1.8ГГц,12/256 ГБ,108/5,12,Да,"Beidou, Galileo, GPS, ГЛОНАСС",отсутствует,"Wi-Fi точка доступа, гироскоп, цифровой компас",интегрирован в экран смартфона.,гироскоп,Да,Да,66,евростандарт (тип E),593,36,6600,189,162.8*75.5*7.98 мм,,,,,,,,,,,,,,,,,,,,,,,,,,
400307033,Смартфон HUAWEI Pura 70 Pro 12/512GB White,HUAWEI,1 год,производителем,Китай,2024,Pura 70 Pro,новый,новый,2844x1260 Пикс,"6.8""/2844x1260 Пикс",AMOLED,,,,,8,,Android EMUI 14.2,,3,50/48/12.5,,100,3840x2160 Пикс (4K),Да,1,13,2 nano-SIM/1 eSim,2G/3G/4G LTE,b/g/n/ac/ax,Да,5.2,,,,Да,USB Type-C,Да,Да,Huawei SuperCharge,,USB Type-C,металл/ стекло,IP68,,,,,,белый,,,104999,72999,HUAWEI,,Kunlun,HiSilicon Kirin 9010 1 х 2.4ГГц + 3 х 2.3ГГц + 4 х 1.8ГГц,12/512 ГБ,50/48/12.5,50,,"GPS, ГЛОНАСС",отсутствует,"Always On Display, поддержка USB Host (OTG), Wi-Fi точка доступа, цифровой компас",интегрирован в экран смартфона.,ускорения (G-sensor),Да,,100,евростандарт (тип C),519,36,5050,220,162.6*75*8.4 мм,Да,Да,3.5,Да,Да,,,,,,,,,,,,,,,,,,,,,
30074449,Смартфон Apple iPhone 16 Pro 256GB Desert Titanium,Apple,1 год,продавцом,Китай,2024,iPhone 16 Pro,новый,новый,1206x2622 Пикс,"6.3""/1206x2622 Пикс",Super Retina XDR,Super Retina XDR,120,2000,A18 Pro,6,New 6‑core GPU,iOS 18,256,3,48/48/12,Да,25,3840x2160 Пикс (4K),Да,1,12,1 nano-SIM/1 eSim,2G/3G/4G LTE/5G,Wi‑Fi 7 (802.11be) with 2x2 MIMO,Да,5.3,Да,Да,Да,Да,USB Type-C,Да,Да,"Qi до 7.Вт, Qi2 до 15Вт wireless",Да,USB Type-C,титан/ стекло,IP68,Да,Да,кабель Type-C - Type-C,Да,Li-Ion,титановый/ золотистый,Desert Titanium,149.6*71.5*8.25 мм,167999,129999,,,,,,,,,,,,,,,,,,,,,,,,,5,,,Да,Да,,,,,,,,,,,,,,,,,,,
400257859,Смартфон POCO M6 Pro 12/512 Gb Black,POCO,1 год,производителем,Китай,2023,M6 Pro,новый,,1080x2400 Пикс,"6.67""/1080x2400 Пикс",AMOLED,,,,,8,,Android 13,,3,64/8/2,,,1920x1080 Пикс,Да,1,16,2 nano-SIM,2G/3G/4G LTE,b/g/n 2.4G+5GHz,Да,5.1,,,,Да,USB Type-C,Да,,,,3.5 мм,пластик/ стекло,IP54,,,,,,черный,,,29999,15999,M6 Pro,,Corning Gorilla Glass 5,MediaTek Helio G99 2 x 2.2 ГГц + 6 x 2 ГГц,12/512 ГБ,64/8/2,64,Да,"Beidou, Galileo, GPS, ГЛОНАСС",microSD,"Always On Display, поддержка USB Host (OTG), Wi-Fi точка доступа, гироскоп, цифровой компас",интегрирован в экран смартфона.,"гироскоп, ускорения (G-sensor)",Да,,67,евростандарт (тип E),30,,5000,180,161*75*8 мм,,,2,Да,Да,,,1024,Да,,,,,,,,,,,,,,,,,
30070492,Смартфон Samsung Galaxy S24 Ultra 12/256GB Onyx Black,Samsung,1 год,производителем,Вьетнам,2024,Galaxy S24 Ultra,новый,новый,3120x1440 Пикс,"6.8""/3120x1440 Пикс",AMOLED,,,,,8,Adreno 750,Android 14,,4,200/12/10/50,,,,Да,1,12,2 nano-SIM/1 eSim,2G/3G/4G LTE/5G,a/b/g/n/ac 2.4G+5GHz,Да,,,,,,USB Type-C,Да,Да,,,USB Type-C,металл/ стекло,IP68,,,,,,черный,,,130999,100999,SM-S928,,закалённое,Qualcomm Snapdragon 8 Gen3,12/256 ГБ,200/12/10/50,,Да,,,Always On Display,расположен на лицевой стороне смартфона,силы нажатия,,Да,,,,,5000,233,162.3*79*8.6 мм,Да,Да,,,,,,,,,,,,,,,,,,,,,,,,
400407204,Смартфон HUAWEI nova 13 12/256GB Black,HUAWEI,1 год,производителем,Китай,2025,nova,новый,,1084x2412 Пикс,"6.7""/1084x2412 Пикс",OLED,,,,,8,,Android EMUI 14.2,,2,50/8,,10,3840x2160 Пикс (4K),,1,60,2 nano-SIM,2G/3G/4G LTE,Да,Да,5.2,,,,,USB Type-C,Да,,,,USB Type-C,металл/ стекло,IP64,,,,,,черный,,,46999,32999,BLK-LX9,,Corning Gorilla Glass,Huawei Kirin 8000 2.4 ГГц,12/256 ГБ,50/8,50,Да,"Beidou, Galileo, GPS, ГЛОНАСС",отсутствует,"поддержка USB Host (OTG), Wi-Fi точка доступа, гироскоп, цифровой компас","расположен на лицевой стороне смартфона, интегрирован в экран смартфона.","гироскоп, силы нажатия, ускорения (G-sensor)",Да,Да,100,евростандарт (тип C),,29,5000,195,161.4*75.3*6.98 мм,,Да,,,Да,,,,Да,,,,,,,,,,,,,,,,,
400268685,Смартфон Xiaomi Redmi A3 4/128Gb Black,Xiaomi,1 год,производителем,Китай,2023,Redmi A3,новый,,720x1600 Пикс,"6.78""/720x1600 Пикс",IPS,,,,,8,,Android 14 (Go Edition),,2,8/0.1,,,720 x 480 Пикс,,1,5,2 nano-SIM,2G/3G/4G LTE,b/g/n,,5.0,,,,Да,USB Type-C,Да,,,,3.5 мм,пластик/ стекло,,,,,,,черный,,,8999,6499,Redmi A3,,закаленное,MediaTek Helio G36 4 x 2.2ГГц + 4 x 1.8ГГц,4/128 ГБ,8/0.1,8,Да,"GPS, ГЛОНАСС",microSD,"Always On Display, поддержка USB Host (OTG), Wi-Fi точка доступа, цифровой компас","расположен в кнопке, либо боковой грани смартфона.",ускорения (G-sensor),Да,,10,,19,14,5000,199,168.4*76.3*8.3 мм,,,,Да,,,,1024,,,,,,,,,,,,,,,,,,
30080789,Смартфон Samsung Galaxy A56 5G 8/256GB черный,Samsung,1 год,производителем,Вьетнам,2025,A,новый,,,,,,,,,8,,Android 15,,3,50/12/5,,10,,Да,1,12,2 nano-SIM/eSim,2G/3G/4G LTE/5G,,Да,5.3,,,,Да,USB Type-C,Да,,,,USB Type-C,,IP67,,,,,,черный,,,48999,48999,SM-A566,One UI,,Samsung,8/256 ГБ,50/12/5,50,Да,"GPS, ГЛОНАСС",,"Always On Display, поддержка USB Host (OTG), Wi-Fi точка доступа, гироскоп",интегрирован в экран смартфона.,"гироскоп, ускорения (G-sensor)",,Да,,,,,5000,,162.2*77.5*7.4 мм,,Да,,,,,,,,,,,,,,,,,,,,,,,,
400365681,Смартфон Xiaomi 14T 12/256GB Titan Black,Xiaomi,2 года,производителем,Китай,2024,14T,новый,новый,2712x1220 Пикс,"6.67""/2712x1220 Пикс",AMOLED,,,4000,,8,,Android 14,,3,50/50/12,,,3840x2160 Пикс (4K),Да,1,32,2 nano-SIM/1 eSim,2G/3G/4G LTE/5G,802.11 a/b/g/n/ac,Да,5.4,,,,Да,USB Type-C,Да,,USB Power Delivery,,USB Type-C,пластик/ стекло,IP68,,,,,,черный,,,52999,45999,14T,,закаленное,MediaTek Dimensity 8300 Ultra 3.35 ГГц,12/256 ГБ,50/50/12,50,,"Beidou, Galileo, GPS, ГЛОНАСС",отсутствует,"Always On Display, поддержка USB Host (OTG), Wi-Fi точка доступа, гироскоп, цифровой компас",интегрирован в экран смартфона.,"гироскоп, атмосферного давления, магнитного поля (датчик Холла), силы нажатия, ускорения (G-sensor)",Да,Да,67,евростандарт (тип E),,,5000,195,160.4*75.1*8 мм,,,2,Да,,,,,Да,Да,Да,,,,,,,,,,,,,,,
